rank,trader,roi,pnl,pnl_clean,vol,vol_clean,net
1060,0x606d2C436A07be40C276a6176bb1376C34e49Ee9,-29.545101368739545,-29973.161149535175,-29973.161149535175,1508691.5581858044,1508691.5581858044,71475.67388898169
1061,0x49D847909940e45DFB68B789A7332Cd5E9B954f4,-29.646880573036093,-0.296468805730361,-0.296468805730361,1.5244624309720034,1.5244624309720034,0.1748639311120265
1062,0x2400a45243e6B13dbaF549FCAc88Eda203df80D2,-29.7474472324857,-2846.4685175297614,-2846.4685175297614,246615.87265352605,246615.87265352605,1428.6968826272773
1063,0x0dd4723F3627F2823A82B69a6E161Afb8E436590,-29.790721892641702,-1429.0605788187502,-1429.0605788187502,28231.70501540438,28231.70501540438,
1064,0x65B0F840ea292fc284C23Fc839e65b3951d46195,-29.83391713143399,-1920.9275093078802,-1920.9275093078802,241031.0655894737,241031.0655894737,1933.5655174445478
1065,0xc5957ff6f4810dfEfc93E557A59472b29c4a8A7e,-30.090949410533618,-380.63026554756163,-380.63026554756163,6327.996385223824,6327.996385223824,884.3024567623515
1066,0xF968A5de2019dE1F0A8f53758dD137aE5C9EFbC9,-30.26551062932134,-335236.77628275106,-335236.77628275106,5349364.345713299,5349364.345713299,101.84215522154982
1067,0xEaDf6FD145e6E7e1ABd83036D3862592F42536b3,-30.389501367316846,-577.6560662513738,-577.6560662513738,6775.728395488476,6775.728395488476,1323.1848171486693
1068,0x3Bd7357AFa1ce960A048A30EA707cE6dEFF42aCA,-30.53239416040166,-201.76514776812277,-201.76514776812277,1675.4632173563493,1675.4632173563493,459.05806415607606
1069,0xA9EEc365d881F6F6852C9073FFC6151cf5Bc1C1b,-30.591172278994893,-701.2138708237738,-701.2138708237738,16696.266716533086,16696.266716533086,1590.996000797442
1070,0xF39549727E4b4E2eEA12Aec970Cf5a69AeAF5244,-30.829577695844492,-347.32166101352556,-347.32166101352556,18458.982055512563,18458.982055512563,
1071,0xe7b859Ed92eAeAac4fFfC5219d303328661476ea,-31.11874370598104,-1364.9893713254753,-1364.9893713254753,17301.62891652817,17301.62891652817,3016.00667908373
1072,0xeC81F56E5816D4456a20F7AE1668765De97d0eaF,-31.234209493173665,-1377.1965395467664,-1377.1965395467664,22598.769453483408,22598.769453483408,3030.329762006239
1073,0xC71698510dCdfb0c45A3EBe7Dd8eD17a6299c1B4,-31.25678154435512,-60.70752803226833,-60.70752803226833,874.2891299076159,874.2891299076159,133.08338208783596
1074,0xD2740F3E455fa6239A47fE7C35e0074bda0109EA,-31.2731907308984,-4782.400981047866,-4782.400981047866,147068.09068125283,147068.09068125283,10099.633751243666
1075,0x7228cb0A10AEF7e09e4f43b418fBD8F410a9b360,-31.3689044650031,-170311.07061465754,-170311.07061465754,2538115.493793188,2538115.493793188,101.00199036923013
1076,0xb0B57738f1A0752d860Aa39C07955BC960284aa8,-31.735368335479247,-10979.79311149889,-10979.79311149889,105632.25047273947,105632.25047273947,23618.176558901283
1077,0x10C0014602516A154f8883aE4CBF09322d84cb81,-31.739719499847176,-1809.7247869223695,-1809.7247869223695,42240.2261500859,42240.2261500859,3892.0420069873353
1078,0x95719729e13B093F546544b1e7028639829EF357,-31.944989512402323,-169525.1975466056,-169525.1975466056,2479190.162820909,2479190.162820909,50182.754429275694
1079,0x0b448800c748a10D0e1868eDcd41a06a70b8A3a2,-31.98887222948213,-5680.607399902434,-5680.607399902434,188849.69074454714,188849.69074454714,
1080,0xB81E05fdA4a2767A052C47e49b52Ab03795d6b1B,-32.01508007051665,-22514.87857156015,-22514.87857156015,225474.4723568223,225474.4723568223,47810.97575074269
1081,0x80092C72971f20a72741806bd8FB457040d28299,-32.105272330558506,-1568.9212330933456,-1568.9212330933456,28188.73164614855,28188.73164614855,
1082,0x285d91512a5fC53484496Ca1ba5FC610B6F3E475,-32.10998802530739,-147.9474356375155,-147.9474356375155,2987.198629509392,2987.198629509392,312.15835746822705
1083,0xE4770cC516422b225FcB61c16255dE54EBCe615b,-32.154154490005645,-2369.666394816225,-2369.666394816225,39360.47699030157,39360.47699030157,5000.038803163027
1084,0x885fd2252e33b42668DcC316985F14a2f3853508,-32.311904650656764,-0.32311904650656764,-0.32311904650656764,3.0551584172843747,3.0551584172843747,0.10562752667317472
1085,0x48848113e5795a816F17EBF28B9535C1A319e5a2,-32.54107263900626,-3565.1831077530082,-3565.1831077530082,26007.897657105077,26007.897657105077,7390.765232682158
1086,0xCEa1C8d02fC9542f93F8907792BDddD681E508aC,-32.892940764721715,-2894.5991075576803,-2894.5991075576803,139535.15954579855,139535.15954579855,
1087,0x89921Bf7766BD9D8eA31a025C14FaF1cec98ffC6,-32.92149977086642,-198.86683124763906,-198.86683124763906,3561.9833224290696,3561.9833224290696,402.4836827948023
1088,0x9f5190ED99affdF621D4D00d9A823c0ec65C6e0D,-33.169347887446726,-1016.9321094163837,-1016.9321094163837,9364.55889797209,9364.55889797209,2048.9470054433086
1089,0x38EAF804d1C5C66b64Bb13A0E2A581249a6dDc72,-33.204136807509585,-1.447574882993354,-1.447574882993354,13.257244434032744,13.257244434032744,2.912047206823973
1090,0xf7FE01B6e78dAC2d7A508637759bB4E6Dd01ced7,-33.226667570997755,-137.1382424967007,-137.1382424967007,1788.3967181755343,1788.3967181755343,
1091,0x29A1beB2187a727336cB9f23f9C4A68ddd92e702,-33.2681269199077,-4868.534901469857,-4868.534901469857,129519.98182177199,129519.98182177199,3949.081552894183
1092,0xa8F4D199A01b446bE88bBFD5fBb0C16b9e77cf46,-33.29831255214919,-26404.82357345655,-26404.82357345655,738256.9514982153,738256.9514982153,52789.80329927231
1093,0xc0F38082CACeA46B201D7614A2DF234eb9cB0447,-33.30028869207626,-3217.7781379869066,-3217.7781379869066,32889.280827618895,32889.280827618895,6445.135501415179
1094,0xa6De2249f71c4cfE1f7521C6bF68D86b8169215f,-33.545539988131964,-201.13837307497352,-201.13837307497352,4945.804433661884,4945.804433661884,
1095,0xA973af6044b67225ebbB579925911Ea09781c36c,-33.58579467430607,-7078.994741730563,-7078.994741730563,56581.034250771765,56581.034250771765,13998.353019065946
1096,0x53C40473DcdFd927C4201cCFE24E314a7D7C3584,-33.77219238888862,-42.66717095048546,-42.66717095048546,2581.582159294069,2581.582159294069,
