date,fxUSD_borrow_apr_pct,aave_borrow_apr_pct,crvusd_borrow_apr_pct
2025-01-01 00:00:00.000 UTC,0,11.900373159646678,12.566836838136034
2025-01-02 00:00:00.000 UTC,0,12.158194963979803,12.32059717333764
2025-01-03 00:00:00.000 UTC,0,11.731202435291289,11.96876696460336
2025-01-04 00:00:00.000 UTC,0,11.620738636836155,11.65664649475399
2025-01-05 00:00:00.000 UTC,0,11.506367304745252,11.371855192236143
2025-01-06 00:00:00.000 UTC,0,11.523310282555963,11.46205312408278
2025-01-07 00:00:00.000 UTC,0,11.50252714902297,11.72397610516356
2025-01-08 00:00:00.000 UTC,0,11.529951217482001,11.347036490817
2025-01-09 00:00:00.000 UTC,0,11.19017828869332,8.954496296176451
2025-01-10 00:00:00.000 UTC,0,11.133205734821198,8.3837992665933
2025-01-11 00:00:00.000 UTC,0,11.222279457675718,7.71772832118936
2025-01-12 00:00:00.000 UTC,0,11.10565897530444,5.013702549910979
2025-01-13 00:00:00.000 UTC,0,11.005514524286982,4.467928494629299
2025-01-14 00:00:00.000 UTC,0,10.805759206866913,0.707801190951645
2025-01-15 00:00:00.000 UTC,0,10.778319957622655,0.2755720399176
2025-01-16 00:00:00.000 UTC,0,10.708490284847072,0.39383238477810856
2025-01-17 00:00:00.000 UTC,0,10.820692961150682,3.1820054115212284
2025-01-18 00:00:00.000 UTC,0,11.03394288771179,4.6734247619838
2025-01-19 00:00:00.000 UTC,0,11.32631015468038,5.480360706151767
2025-01-20 00:00:00.000 UTC,0,11.57637565871174,6.862320437355388
2025-01-21 00:00:00.000 UTC,0,11.263109075262303,8.707490861529458
2025-01-22 00:00:00.000 UTC,0,10.839033719682652,11.376648631573921
2025-01-23 00:00:00.000 UTC,0,10.512265079298203,11.834491032516702
2025-01-24 00:00:00.000 UTC,0,10.307527316516177,11.98439956595664
2025-01-25 00:00:00.000 UTC,0,10.073661081601488,11.52341469744156
2025-01-26 00:00:00.000 UTC,0,9.942637130739609,11.19064090167369
2025-01-27 00:00:00.000 UTC,0,9.779462929190645,9.87943234368269
2025-01-28 00:00:00.000 UTC,0,9.776473584281804,3.8638956087892806
2025-01-29 00:00:00.000 UTC,0,9.647668000986283,3.4933430952453604
2025-01-30 00:00:00.000 UTC,0,9.70014339709017,3.6673143562858916
2025-01-31 00:00:00.000 UTC,0,9.473973402240164,3.7480923950677205
2025-02-01 00:00:00.000 UTC,0,9.109738979712008,3.7582510405464
2025-02-02 00:00:00.000 UTC,0,9.122025694291452,4.236572322814589
2025-02-03 00:00:00.000 UTC,0,8.749480721712413,1.0203791261370065
2025-02-04 00:00:00.000 UTC,0,8.168066090650774,1.1538253607323765
2025-02-05 00:00:00.000 UTC,0,8.179526762200073,1.5429390588612
2025-02-06 00:00:00.000 UTC,0,8.233066348886556,3.183742888665839
2025-02-07 00:00:00.000 UTC,0,8.231063933200318,4.12445633054697
2025-02-08 00:00:00.000 UTC,0,8.153760226850766,5.581957368746339
2025-02-09 00:00:00.000 UTC,0,8.099032832409806,10.57222606066128
2025-02-10 00:00:00.000 UTC,0,8.009065609433424,10.962182046304441
2025-02-11 00:00:00.000 UTC,0,7.417030449665463,9.89064867338712
2025-02-12 00:00:00.000 UTC,0,6.612620980467745,9.25653728370888
2025-02-13 00:00:00.000 UTC,0,6.775159496483534,<nil>
2025-02-14 00:00:00.000 UTC,0,6.829188269393343,7.331367437889344
2025-02-15 00:00:00.000 UTC,0,6.892393559088972,5.966512107312961
